#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,matrixMulRegister
213,0000000b 00e73040,"      FADD R11, R10, R5",0,38,1,Floating Point,32768,32,,,,,,,,,
214,0000000b 00e73050,"      FADD R12, R9, R5",0,39,1,Floating Point,32768,32,,,,,,,,,
215,0000000b 00e73060,"      FADD R13, R8, R30",0,40,3,Floating Point,32768,32,,,,,,,,,
216,0000000b 00e73070,"      FADD R15, R27, R15",0,40,2,Floating Point,32768,32,,,,,,,,,
217,0000000b 00e73080,"      FADD R11, R34, R11",0,40,1,Floating Point,32768,32,,,,,,,,,
218,0000000b 00e73090,"      FADD R45, R27, R5",0,40,2,Floating Point,32768,32,,,,,,,,,
219,0000000b 00e730a0,"      FADD R34, R10, R30",0,40,1,Floating Point,32768,32,,,,,,,,,
220,0000000b 00e730b0,"      FADD R17, R17, R12",0,40,4,Floating Point,32768,32,,,,,,,,,
221,0000000b 00e730c0,"      FADD R16, R14, R13",0,40,2,Floating Point,32768,32,,,,,,,,,
222,0000000b 00e730d0,"      FADD R40, R40, R15",0,38,1,Floating Point,32768,32,,,,,,,,,
223,0000000b 00e730e0,"      FADD R5, R9, R30",0,38,1,Floating Point,32768,32,,,,,,,,,
224,0000000b 00e730f0,"      LDS.128 R12, [R37+0x90]",0,42,1,Load/Store,32768,32,Shared,Load,128,,,,,,
225,0000000b 00e73100,"      FADD R41, R41, R34",0,42,4,Floating Point,32768,32,,,,,,,,,
226,0000000b 00e73110,"      FADD R5, R32, R5",0,41,48,Floating Point,32768,32,,,,,,,,,
227,0000000b 00e73120,"      LDS.128 R32, [R0.X16+0x1290]",0,44,13,Load/Store,32768,32,Shared,Load,128,,,,,,
